type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,3C:61:05:0C:11:ED,-62,11,1,6,1,1,1,1,0,0,0,-97,6,8,1,4100134,0,110,0,0,5.35241,384,[110 96 6 0 0 0 0 0 0 0 0 0 -1 -12 -1 -12 -1 -13 0 -12 1 -12 2 -12 3 -12 3 -12 3 -12 3 -11 3 -12 4 -11 3 -11 3 -10 3 -10 4 -10 3 -10 3 -9 3 -9 3 -9 2 -9 2 -9 2 -8 2 -8 1 -8 1 -8 0 0 1 -8 1 -7 0 -8 1 -7 0 -7 0 -7 -1 -7 -1 -7 -1 -6 -1 -6 -1 -6 -2 -6 -2 -6 -3 -5 -3 -5 -3 -5 -4 -5 -4 -5 -4 -4 -4 -4 -5 -3 -5 -3 -6 -3 -6 -3 -6 -2 -6 -2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,3C:61:05:0C:11:ED,-62,11,1,6,1,1,1,1,0,0,0,-97,6,8,1,4100134,0,110,0,0,5.76696,384,[110 96 6 0 0 0 0 0 0 0 0 0 -1 -12 -1 -12 -1 -13 0 -12 1 -12 2 -12 3 -12 3 -12 3 -12 3 -11 3 -12 4 -11 3 -11 3 -10 3 -10 4 -10 3 -10 3 -9 3 -9 3 -9 2 -9 2 -9 2 -8 2 -8 1 -8 1 -8 0 0 1 -8 1 -7 0 -8 1 -7 0 -7 0 -7 -1 -7 -1 -7 -1 -6 -1 -6 -1 -6 -2 -6 -2 -6 -3 -5 -3 -5 -3 -5 -4 -5 -4 -5 -4 -4 -4 -4 -5 -3 -5 -3 -6 -3 -6 -3 -6 -2 -6 -2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,3C:61:05:0C:11:ED,-62,11,1,6,1,1,1,1,0,0,0,-97,6,8,1,4100134,0,110,0,0,5.117966,384,[110 96 6 0 0 0 0 0 0 0 0 0 -1 -12 -1 -12 -1 -13 0 -12 1 -12 2 -12 3 -12 3 -12 3 -12 3 -11 3 -12 4 -11 3 -11 3 -10 3 -10 4 -10 3 -10 3 -9 3 -9 3 -9 2 -9 2 -9 2 -8 2 -8 1 -8 1 -8 0 0 1 -8 1 -7 0 -8 1 -7 0 -7 0 -7 -1 -7 -1 -7 -1 -6 -1 -6 -1 -6 -2 -6 -2 -6 -3 -5 -3 -5 -3 -5 -4 -5 -4 -5 -4 -4 -4 -4 -5 -3 -5 -3 -6 -3 -6 -3 -6 -2 -6 -2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,3C:61:05:0C:11:ED,-62,11,1,6,1,1,1,1,0,0,0,-97,6,8,1,4100134,0,110,0,0,5.159408,384,[110 96 6 0 0 0 0 0 0 0 0 0 -1 -12 -1 -12 -1 -13 0 -12 1 -12 2 -12 3 -12 3 -12 3 -12 3 -11 3 -12 4 -11 3 -11 3 -10 3 -10 4 -10 3 -10 3 -9 3 -9 3 -9 2 -9 2 -9 2 -8 2 -8 1 -8 1 -8 0 0 1 -8 1 -7 0 -8 1 -7 0 -7 0 -7 -1 -7 -1 -7 -1 -6 -1 -6 -1 -6 -2 -6 -2 -6 -3 -5 -3 -5 -3 -5 -4 -5 -4 -5 -4 -4 -4 -4 -5 -3 -5 -3 -6 -3 -6 -3 -6 -2 -6 -2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,3C:61:05:0C:11:ED,-62,11,1,6,1,1,1,1,0,0,0,-97,5,8,1,4102363,0,110,0,0,5.204259,384,[110 96 6 0 0 0 0 0 0 0 0 0 -11 1 -11 0 -11 -1 -12 -2 -12 -1 -12 -1 -11 -2 -11 -3 -11 -2 -11 -3 -11 -3 -10 -3 -10 -4 -10 -4 -9 -4 -10 -3 -9 -3 -9 -3 -8 -3 -8 -3 -8 -3 -8 -3 -8 -2 -8 -2 -7 -2 -7 -2 0 0 -7 -1 -6 -1 -7 -1 -6 0 -7 0 -6 0 -6 0 -6 0 -6 1 -6 1 -6 1 -5 1 -5 1 -4 2 -4 2 -4 3 -3 2 -4 3 -3 3 -3 3 -3 4 -2 3 -2 4 -1 5 -1 5 -1 5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,3C:61:05:0C:11:ED,-62,11,1,6,1,1,1,1,0,0,0,-97,5,8,1,4102363,0,110,0,0,5.244139,384,[110 96 6 0 0 0 0 0 0 0 0 0 -11 1 -11 0 -11 -1 -12 -2 -12 -1 -12 -1 -11 -2 -11 -3 -11 -2 -11 -3 -11 -3 -10 -3 -10 -4 -10 -4 -9 -4 -10 -3 -9 -3 -9 -3 -8 -3 -8 -3 -8 -3 -8 -3 -8 -2 -8 -2 -7 -2 -7 -2 0 0 -7 -1 -6 -1 -7 -1 -6 0 -7 0 -6 0 -6 0 -6 0 -6 1 -6 1 -6 1 -5 1 -5 1 -4 2 -4 2 -4 3 -3 2 -4 3 -3 3 -3 3 -3 4 -2 3 -2 4 -1 5 -1 5 -1 5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,3C:61:05:0C:11:ED,-62,11,1,6,1,1,1,1,0,0,0,-97,5,8,1,4102363,0,110,0,0,5.285814,384,[110 96 6 0 0 0 0 0 0 0 0 0 -11 1 -11 0 -11 -1 -12 -2 -12 -1 -12 -1 -11 -2 -11 -3 -11 -2 -11 -3 -11 -3 -10 -3 -10 -4 -10 -4 -9 -4 -10 -3 -9 -3 -9 -3 -8 -3 -8 -3 -8 -3 -8 -3 -8 -2 -8 -2 -7 -2 -7 -2 0 0 -7 -1 -6 -1 -7 -1 -6 0 -7 0 -6 0 -6 0 -6 0 -6 1 -6 1 -6 1 -5 1 -5 1 -4 2 -4 2 -4 3 -3 2 -4 3 -3 3 -3 3 -3 4 -2 3 -2 4 -1 5 -1 5 -1 5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,3C:61:05:0C:11:ED,-62,11,1,6,1,1,1,1,0,0,0,-97,5,8,1,4102363,0,110,0,0,5.327437,384,[110 96 6 0 0 0 0 0 0 0 0 0 -11 1 -11 0 -11 -1 -12 -2 -12 -1 -12 -1 -11 -2 -11 -3 -11 -2 -11 -3 -11 -3 -10 -3 -10 -4 -10 -4 -9 -4 -10 -3 -9 -3 -9 -3 -8 -3 -8 -3 -8 -3 -8 -3 -8 -2 -8 -2 -7 -2 -7 -2 0 0 -7 -1 -6 -1 -7 -1 -6 0 -7 0 -6 0 -6 0 -6 0 -6 1 -6 1 -6 1 -5 1 -5 1 -4 2 -4 2 -4 3 -3 2 -4 3 -3 3 -3 3 -3 4 -2 3 -2 4 -1 5 -1 5 -1 5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,3C:61:05:0C:11:ED,-62,11,1,6,1,1,1,1,0,0,0,-97,5,8,1,4102363,0,110,0,0,5.399155,384,[110 96 6 0 0 0 0 0 0 0 0 0 -11 1 -11 0 -11 -1 -12 -2 -12 -1 -12 -1 -11 -2 -11 -3 -11 -2 -11 -3 -11 -3 -10 -3 -10 -4 -10 -4 -9 -4 -10 -3 -9 -3 -9 -3 -8 -3 -8 -3 -8 -3 -8 -3 -8 -2 -8 -2 -7 -2 -7 -2 0 0 -7 -1 -6 -1 -7 -1 -6 0 -7 0 -6 0 -6 0 -6 0 -6 1 -6 1 -6 1 -5 1 -5 1 -4 2 -4 2 -4 3 -3 2 -4 3 -3 3 -3 3 -3 4 -2 3 -2 4 -1 5 -1 5 -1 5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,3C:61:05:0C:11:ED,-55,11,0,0,0,0,0,0,0,0,0,-97,0,8,1,5063948,0,110,0,0,5.460443,128,[110 96 6 0 0 0 0 0 0 0 0 0 0 -35 1 -36 3 -35 4 -35 6 -33 8 -34 8 -33 9 -31 9 -29 10 -28 10 -28 10 -26 10 -25 10 -22 10 -21 9 -20 8 -19 7 -17 6 -18 5 -16 4 -15 2 -14 1 -13 0 -14 -2 -13 -3 -13 0 0 -5 -11 -6 -11 -8 -11 -8 -10 -10 -11 -11 -11 -11 -10 -12 -10 -12 -9 -14 -10 -15 -9 -16 -9 -16 -8 -17 -8 -18 -8 -20 -7 -19 -6 -21 -6 -22 -5 -22 -5 -23 -5 -23 -4 -24 -3 -25 -3 -24 -2 -24 -1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,3C:61:05:0C:11:ED,-54,11,0,0,0,0,0,0,0,0,0,-97,0,8,1,5103675,0,37,0,0,5.505778,128,[37 80 2 0 0 0 0 0 0 0 0 0 -3 -24 -2 -25 0 -23 1 -24 1 -23 2 -24 3 -23 4 -23 4 -21 4 -21 3 -22 4 -20 4 -19 4 -18 5 -17 4 -17 4 -16 4 -14 3 -14 3 -13 3 -12 2 -11 1 -10 0 -10 -1 -9 -1 -9 0 0 -3 -7 -3 -6 -5 -6 -5 -5 -5 -5 -6 -5 -7 -4 -7 -4 -7 -3 -8 -3 -9 -2 -9 -1 -9 0 -10 0 -10 0 -11 1 -11 2 -12 2 -12 3 -12 3 -12 4 -12 5 -12 5 -13 7 -12 7 -12 8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,3C:61:05:0C:11:ED,-59,11,1,2,1,1,1,0,0,0,0,-97,0,8,1,5104181,0,110,0,0,5.547373,384,[110 96 6 0 0 0 0 0 0 0 0 0 -4 11 -5 11 -6 10 -6 10 -7 10 -7 10 -6 9 -7 9 -7 8 -7 8 -7 8 -7 7 -7 7 -7 7 -6 6 -6 6 -6 6 -5 5 -5 5 -5 5 -4 5 -4 4 -3 4 -3 4 -2 4 -2 3 0 0 -1 3 0 3 0 3 0 3 1 3 1 2 2 3 2 2 3 2 3 2 3 2 3 2 4 1 4 1 4 0 5 0 5 0 5 -1 5 -1 5 -1 6 -1 6 -1 6 -2 6 -2 6 -3 6 -3 0 0 0 0 0 0 0 0 0 0 ]
